Región,Canton,Mujeres,Hombres,Total General,De 0 a 14 años,De 15 a 24 años,De 25 a 34 años,De 35 a 44 años,De 45 a 59 años,De 60 años o más,Mujeres De 0 a 14 años,Mujeres De 15 a 24 años,Mujeres De 25 a 34 años,Mujeres De 35 a 44 años,Mujeres De 45 a 59 años,Mujeres De 60 años o más,Hombres De 0 a 14 años,Hombres De 15 a 24 años,Hombres De 25 a 34 años,Hombres De 35 a 44 años,Hombres De 45 a 59 años,Hombres De 60 años o más
Región Central,San José,178410,175615,354025,58213,45033,60335,60403,64713,65328,29336,22694,30406,30440,32612,32922,28877,22339,29929,29963,32101,32406
Región Central,Escazú,36378,35368,71746,13317,9660,11187,11514,13767,12301,6752,4898,5672,5838,6980,6237,6565,4762,5515,5676,6787,6064
Región Central,Desamparados,125927,125397,251324,50251,36561,43597,40377,42975,37563,25178,18319,21844,20231,21533,18821,25073,18242,21753,20146,21442,18742
Región Central,Puriscal,19338,19534,38872,6943,5057,7563,6125,6704,6480,3454,2516,3762,3047,3335,3224,3489,2541,3801,3078,3369,3256
Región Central,Tarrazú,9313,9595,18908,4350,2947,3586,2646,2952,2427,2143,1452,1766,1303,1454,1195,2207,1495,1820,1343,1498,1232
Región Central,Aserrí,32352,32568,64920,13287,9566,11301,10512,11324,8930,6621,4767,5632,5239,5643,4450,6666,4799,5669,5273,5681,4480
Región Central,Mora,15557,15399,30956,5707,4040,5444,5146,5814,4805,2868,2030,2736,2586,2922,2415,2839,2010,2708,2560,2892,2390
Región Central,Goicoechea,71714,70086,141800,25815,19359,25068,23125,24008,24425,13056,9791,12678,11695,12142,12353,12759,9568,12390,11430,11866,12072
Región Central,Santa Ana,31404,31134,62538,13265,8763,9478,9860,11812,9360,6661,4400,4759,4951,5931,4700,6604,4363,4719,4909,5881,4660
Región Central,Alajuelita,48745,49664,98409,22106,15665,17650,15234,15446,12308,10950,7759,8743,7546,7651,6097,11156,7906,8907,7688,7795,6211
Región Central,Vázquez de Coronado,37052,36480,73532,14552,10309,11697,11920,13220,11834,7333,5195,5894,6006,6661,5963,7219,5114,5803,5914,6559,5871
Región Central,Acosta,10902,11475,22377,4233,3129,4539,3386,3800,3290,2062,1524,2211,1650,1851,1603,2171,1605,2328,1736,1949,1687
Región Central,Tibás,44053,42575,86628,15520,12012,15704,13423,14860,15109,7892,6108,7986,6826,7557,7683,7628,5904,7718,6597,7303,7426
Región Central,Moravia,32338,31171,63509,11574,8222,10097,10707,11767,11142,5893,4187,5141,5452,5992,5673,5681,4035,4956,5255,5775,5469
Región Central,Montes de Oca,32257,30689,62946,9759,7722,11280,11123,10890,12172,5001,3957,5780,5700,5581,6238,4758,3765,5500,5423,5309,5934
Región Central,Turrubares,3406,3694,7100,1289,906,1407,1124,1277,1097,618,435,675,539,613,526,671,471,732,585,664,571
