Sectoreconómico,Hombre,Mujer
"Agricultura, ganadería y pesca",12098,5173
Industria manufacturera,10955,6561
Construcción,15792,93
Otros,0,0
Comercio y reparación,14340,18756
Transporte y almacenamiento,2483,370
Hoteles y restaurantes,9055,6955
Intermediación financiera y de seguros,718,718
Actividades profesionales y administrativas de apoyo,13591,3940
Administración pública,1465,1418
Enseñanza y salud,3117,5992
Comunicación y otros servicios,3215,2832
Hogares como empleadores,1470,16136
No especificado,0,0
