Sectoreconómico,Urbano,Rural,Hombre,Mujer
"Agricultura, ganadería y pesca",61716,149847,183745,27818
Industria manufacturera,200149,44023,155766,88406
Construcción,93869,35499,127372,1996
Otros,23823,11548,28114,7257
Comercio y reparación,290573,78455,224737,144291
Transporte y almacenamiento,89051,23696,102257,10490
Hoteles y restaurantes,104623,32969,48157,89435
Intermediación financiera y de seguros,45988,3968,29580,20376
Actividades profesionales y administrativas de apoyo,155659,32813,131299,57173
Administración pública,80342,20240,60335,40247
Enseñanza y salud,193243,44386,76917,160712
Comunicación y otros servicios,169569,43216,132408,80377
Hogares como empleadores,71687,31355,8224,94818
No especificado,24928,335,14996,10267
