Sector,Rama
Sector primario,"Agricultura, ganadería y pesca"
Sector secundario,Industria manufacturera
Sector secundario,Construcción
Sector secundario,Otros
Sector comercio y servicios,Comercio y reparación
Sector comercio y servicios,Transporte y almacenamiento
Sector comercio y servicios,Hoteles y restaurantes
Sector comercio y servicios,Intermediación financiera y de seguros
Sector comercio y servicios,Actividades profesionales y administrativas de apoyo
Sector comercio y servicios,Administración pública
Sector comercio y servicios,Enseñanza y salud
Sector comercio y servicios,Comunicación y otros servicios
Sector comercio y servicios,Hogares como empleadores
Sector No especificado,No especificado
